nome_do_anuncio,nome_do_conjunto_de_anuncios,identificacao_da_campanha,veiculacao_do_anuncio,alcance,impressoes,frequencia,tipo_de_resultado,resultados,custo_por_resultado,valor_gasto_brl,cpm_custo_por_1_000_impressoes,cliques_no_link,cpc_custo_por_clique_no_link,ctr_taxa_de_cliques_no_link,inicio_dos_relatorios,termino_dos_relatorios,termino
Default Name - Instalações do aplicativo,Instalações iOS - SE,23842710795080620,not_delivering,15608,23500,1.5056381342901,Instalações do aplicativo para celular,6,41.666666666667,250,10.63829787,47,5.31914894,0.2,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,Instalações iOS - SE,23842710795080620,not_delivering,15608,23500,1.5056381342901,Instalações do aplicativo para celular,6,41.666666666667,250,10.63829787,47,5.31914894,0.2,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,Instalações iOS - SE,23842710795080620,not_delivering,15608,23500,1.5056381342901,Instalações do aplicativo para celular,6,41.666666666667,250,10.63829787,47,5.31914894,0.2,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,Instalações iOS - SE,23842710795080620,not_delivering,15608,23500,1.5056381342901,Instalações do aplicativo para celular,6,41.666666666667,250,10.63829787,47,5.31914894,0.2,2017-08-13,2019-02-15,43169
Default Name - Instalações do aplicativo,Instalações iOS - SE,23842710795080620,not_delivering,15608,23500,1.5056381342901,Instalações do aplicativo para celular,6,41.666666666667,250,10.63829787,47,5.31914894,0.2,2017-08-13,2019-02-15,43176
Default Name - Instalações do aplicativo,Instalações iOS - SUL,23842710796250620,not_delivering,17119,26688,1.5589695659793,Instalações do aplicativo para celular,6,41.666666666667,250,9.367506,48,5.20833333,0.17985611510791,2017-08-13,2019-02-15,42978
Default Name - Instalações do aplicativo,Instalações iOS - SUL,23842710796250620,not_delivering,17119,26688,1.5589695659793,Instalações do aplicativo para celular,6,41.666666666667,250,9.367506,48,5.20833333,0.17985611510791,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,Instalações iOS - SUL,23842710796250620,not_delivering,17119,26688,1.5589695659793,Instalações do aplicativo para celular,6,41.666666666667,250,9.367506,48,5.20833333,0.17985611510791,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,Instalações iOS - SUL,23842710796250620,not_delivering,17119,26688,1.5589695659793,Instalações do aplicativo para celular,6,41.666666666667,250,9.367506,48,5.20833333,0.17985611510791,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,Instalações iOS - SUL,23842710796250620,not_delivering,17119,26688,1.5589695659793,Instalações do aplicativo para celular,6,41.666666666667,250,9.367506,48,5.20833333,0.17985611510791,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,Instalações iOS - SUL,23842710796250620,not_delivering,17119,26688,1.5589695659793,Instalações do aplicativo para celular,6,41.666666666667,250,9.367506,48,5.20833333,0.17985611510791,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,Instalações iOS - SUL,23842710796250620,not_delivering,17119,26688,1.5589695659793,Instalações do aplicativo para celular,6,41.666666666667,250,9.367506,48,5.20833333,0.17985611510791,2017-08-13,2019-02-15,43169
Default Name - Instalações do aplicativo,Instalações iOS - SUL,23842710796250620,not_delivering,17119,26688,1.5589695659793,Instalações do aplicativo para celular,6,41.666666666667,250,9.367506,48,5.20833333,0.17985611510791,2017-08-13,2019-02-15,43176
Instalações do APP TDP / Brasil – Região Centro-Oeste,Instalações do APP TDP / Brasil Região - Centro Oeste,23842633853320620,not_delivering,43706,63340,1.4492289388185,Instalações do aplicativo para celular,124,2.0161290322581,250,3.94695295,1934,0.12926577,3.0533628039154,2017-08-13,2019-02-15,43035
Instalações do APP TDP / Brasil – Região SUL,Instalações do APP TDP / Brasil – Região SUL,23842633877730620,not_delivering,45416,64204,1.4136868064118,Instalações do aplicativo para celular,123,1.9908130081301,244.87,3.81393683,1950,0.12557436,3.0371939443025,2017-08-13,2019-02-15,43035
"Publicação: """"Conheça o APP que fiscaliza e cobra as obras de...""""","Publicação: """"Conheça o APP que fiscaliza e cobra as obras de...""""",23842607319550620,not_delivering,13198,16418,1.2439763600546,Envolvimento com a publicação,4312,0.050711966604824,218.67,13.31891826,68,3.21573529,0.41417955902059,2017-08-13,2019-02-15,
"Publicação: """"Há 4 meses a obra da creche Hípica Pinheiro em...""""","Publicação: """"Há 4 meses a obra da creche Hípica Pinheiro em...""""",23842615840840620,not_delivering,7748,9988,1.2891068662881,Envolvimento com a publicação,3715,0.053835800807537,200,20.02402883,2,100,0.020024028834602,2017-08-13,2019-02-15,
Envolvimento Matrícula,BR - 18+,23842726444590620,not_delivering,16831,24613,1.4623611193631,Envolvimento com a publicação,3175,0.062992125984252,200,8.12578719,29,6.89655172,0.11782391419169,2017-08-13,2019-02-15,43170
"Publicação: """"O Tá de Pé é um aplicativo criado para você,...""""","Publicação: """"O Tá de Pé é um aplicativo criado para você,...""""",23842616796250620,not_delivering,7738,10208,1.3192039286637,Envolvimento com a publicação,4068,0.049164208456244,200,19.59247649,,,,2017-08-13,2019-02-15,
"Publicação: """"Faça a sua parte, fiscalize obras de creches e escolas do governo para que não fiquem paradas e ..."""" - Envolvimento",GIF 31_08,23842614366690620,not_delivering,54937,69981,1.2738409450825,Envolvimento com a publicação,12835,0.015582391897156,200,2.85791858,7,28.57142857,0.010002715022649,2017-08-13,2019-02-15,
"Publicação: """"Veja como é simples usar o aplicativo Tá de Pé e...""""","Publicação: """"Veja como é simples usar o aplicativo Tá de Pé e...""""",23842613958300620,not_delivering,7564,9522,1.2588577472237,Envolvimento com a publicação,3598,0.055586436909394,200,21.00399076,6,33.33333333,0.063011972274732,2017-08-13,2019-02-15,
"Publicação: """"A Unidade Proinfância Jardim das Américas em...""""","Publicação: """"A Unidade Proinfância Jardim das Américas em...""""",23842616807290620,not_delivering,7802,10430,1.3368367085363,Envolvimento com a publicação,4105,0.048721071863581,200,19.17545542,1,200,0.0095877277085331,2017-08-13,2019-02-15,
Default Name - Reconhecimento da marca,BR - 20-55,23842780234030620,not_delivering,115102,202140,1.7561814738232,Aumento estimado de lembrança do anúncio (pessoas),2710,0.066420664206642,180,0.89047195,144,1.25,0.071237756010686,2017-08-13,2019-02-15,43212
Default Name - Alcance,BR - 18-64,23842758055060620,not_delivering,121077,132796,1.0967896462582,Alcance,121077,1.4866572511707,180,1.35546251,122,1.47540984,0.091870237055333,2017-08-13,2019-02-15,43197
Default Name - Alcance,BR - 18-64,23842758055060620,not_delivering,121077,132796,1.0967896462582,Alcance,121077,1.4866572511707,180,1.35546251,122,1.47540984,0.091870237055333,2017-08-13,2019-02-15,43200
#3 Jovens - Tráfego,BR - 18+,23842829204970620,not_delivering,42307,59445,1.4050866286903,Cliques no link,388,0.4639175257732,180,3.02800908,388,0.46391753,0.65270418033476,2017-08-13,2019-02-15,43255
