text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,tipo_mensagem,entidade_que_respondeu,alerta_encaminhado_obra
"Veja a resposta que a Prefeitura Municipal de Anapu - PA deu ao alerta da obra ""EMEF SÃO LUCAS - Anapu - PA"":… https://t.co/FT4CU9G6xe",FALSE,0,,2018-12-17T15:43:06Z,TRUE,,1074691464746229767,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Anapu - PA ,
"Veja a resposta que a Prefeitura Municipal de Anapu - PA deu ao alerta da obra ""EMEF FRANSCISCO DE FARIAS - Anapu -… https://t.co/Z2cs9hAFwe",FALSE,0,,2018-12-17T15:42:51Z,TRUE,,1074691401600958464,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Anapu - PA ,
"Veja a resposta que a Prefeitura Municipal de Anapu - PA deu ao alerta da obra ""EMEF REI SALOMÃO - Anapu - PA"":… https://t.co/l3cqmL0ssg",FALSE,0,,2018-12-17T15:42:31Z,TRUE,,1074691317509316608,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Anapu - PA ,
"Veja a resposta que a Prefeitura Municipal de Piranguçu - MG deu ao alerta da obra ""ESCOLA SÃO JOSÉ - Piranguçu - M… https://t.co/Kuq83o6KtD",FALSE,0,,2018-12-17T15:38:51Z,TRUE,,1074690394829611008,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Piranguçu - MG ,
"Veja a resposta que a Prefeitura Municipal de Engenheiro Beltrão - PR deu ao alerta da obra ""escola 12 salas Matric… https://t.co/MpY7OOmapS",FALSE,0,,2018-12-17T15:37:04Z,TRUE,,1074689944415887361,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Engenheiro Beltrão - PR ,
"Veja a resposta que a Prefeitura Municipal de Entre Rios - BA deu ao alerta da obra ""702347 - Esc. Educ. Infantil… https://t.co/K1YPBXXqdY",FALSE,0,,2018-12-17T15:29:31Z,TRUE,,1074688046350651392,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Entre Rios - BA ,
"Veja a resposta que a Prefeitura Municipal de Entre Rios - BA deu ao alerta da obra ""PAC 2 - CRECHE/PRÉ-ESCOLA  001… https://t.co/m2POPdGZPz",FALSE,0,,2018-12-17T15:28:52Z,TRUE,,1074687884073013248,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Entre Rios - BA ,
"Veja a resposta que a Prefeitura Municipal de Ilha Comprida - SP deu ao alerta da obra ""Balneário Britânia - Ilha C… https://t.co/PyKz98eMN5",FALSE,0,,2018-12-17T15:21:49Z,TRUE,,1074686106577367040,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Ilha Comprida - SP ,
"Veja a resposta que a Prefeitura Municipal de Governador Lindenberg - ES deu ao alerta da obra ""CENTRO DE EDUCAÇÃO… https://t.co/b5XVw0FlWk",FALSE,0,,2018-12-17T15:06:03Z,TRUE,,1074682138702868481,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Governador Lindenberg - ES ,
"Veja a resposta que a Prefeitura Municipal de Novo Cruzeiro - MG deu ao alerta da obra ""702588 - Esc. Educ. Infanti… https://t.co/f9KVvXxiYI",FALSE,0,,2018-12-17T15:04:37Z,TRUE,,1074681779498422272,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Novo Cruzeiro - MG ,
"Veja a resposta que a Prefeitura Municipal de Ourilândia do Norte - PA deu ao alerta da obra ""PAC 2 - CRECHE/PRÉ-ES… https://t.co/pAc27GoOkr",FALSE,0,,2018-12-17T15:01:39Z,TRUE,,1074681033126227968,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Ourilândia do Norte - PA ,
"Veja a resposta que a Prefeitura Municipal de Queimadas - BA deu ao alerta da obra ""PAC 2 - CRECHE/PRÉ-ESCOLA  001… https://t.co/wY5SnNE0i6",FALSE,0,,2018-12-17T14:54:54Z,TRUE,,1074679334424797184,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Queimadas - BA ,
"Veja a resposta que a Prefeitura Municipal de Volta Redonda - RJ deu ao alerta da obra ""VILA RICA"": https://t.co/wOchz0lmWg #tadepe",FALSE,0,,2018-12-17T14:53:11Z,FALSE,,1074678904143732737,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Volta Redonda - RJ ,
