cidade,regiao,usuarios,novos_usuarios,sessoes,visualizacoes_de_tela,telas_sessao,duracao_media_da_sessao
Luz,State of Minas Gerais,1,1,1,0,"0,00",00:00:00
Mairipora,State of Sao Paulo,1,1,1,5,"5,00",00:01:11
Mangaratiba,State of Rio de Janeiro,1,1,1,1,"1,00",00:00:00
Mineiros,State of Goias,1,1,1,0,"0,00",00:00:00
Mirandopolis,State of Sao Paulo,1,1,1,1,"1,00",00:00:00
Mirassol,State of Sao Paulo,1,1,1,6,"6,00",00:19:40
Monte Alegre,State of Para,1,1,1,0,"0,00",00:00:00
Montenegro,State of Rio Grande do Sul,1,1,1,4,"4,00",00:01:33
Moreno,State of Pernambuco,1,1,1,1,"1,00",00:00:00
Natividade,State of Rio de Janeiro,1,1,1,1,"1,00",00:00:00
Navirai,State of Mato Grosso do Sul,1,1,1,4,"4,00",00:01:07
Nova Serrana,State of Minas Gerais,1,1,3,3,"1,00",00:00:00
Nova Venecia,State of Espirito Santo,1,0,2,2,"1,00",00:00:00
Novo Horizonte,State of Sao Paulo,1,1,1,0,"0,00",00:00:00
Palotina,State of Parana,1,1,1,0,"0,00",00:00:00
Papagaios,State of Minas Gerais,1,0,1,1,"1,00",00:00:00
Paranaiba,State of Mato Grosso do Sul,1,1,1,3,"3,00",00:00:55
Paraty,State of Rio de Janeiro,1,0,1,2,"2,00",00:00:01
Paraiba do Sul,State of Rio de Janeiro,1,1,2,9,"4,50",00:01:05
Paty do Alferes,State of Rio de Janeiro,1,1,1,2,"2,00",00:09:28
Paulo Afonso,State of Bahia,1,1,1,11,"11,00",00:21:49
Pedreira,State of Sao Paulo,1,1,1,1,"1,00",00:00:00
Penha,State of Santa Catarina,1,1,1,3,"3,00",00:01:09
Penapolis,State of Sao Paulo,1,1,1,8,"8,00",00:03:03
Pereira Barreto,State of Sao Paulo,1,1,1,3,"3,00",00:00:22
Peruibe,State of Sao Paulo,1,1,1,0,"0,00",00:25:55
Piedade,State of Sao Paulo,1,1,3,6,"2,00",00:00:23
Pilar,State of Alagoas,1,1,2,4,"2,00",00:00:08
Pilar do Sul,State of Sao Paulo,1,1,1,0,"0,00",00:00:00
Pinheiro,State of Maranhao,1,1,1,2,"2,00",00:00:06
Pirajui,State of Sao Paulo,1,1,1,6,"6,00",00:02:44
Piraquara,State of Parana,1,1,9,28,"3,11",00:00:56
Pirai,State of Rio de Janeiro,1,0,1,2,"2,00",00:00:02
Pirai do Sul,State of Parana,1,1,4,4,"1,00",00:00:00
Pombal,State of Paraiba,1,1,1,3,"3,00",00:08:29
Porciuncula,State of Rio de Janeiro,1,1,9,15,"1,67",00:00:03
Porto Belo,State of Santa Catarina,1,0,1,1,"1,00",00:00:00
Portao,State of Rio Grande do Sul,1,0,7,16,"2,29",00:02:41
Prata,State of Minas Gerais,1,1,1,0,"0,00",00:10:43
Quirinopolis,State of Goias,1,1,1,1,"1,00",00:00:19
Rancharia,State of Sao Paulo,1,0,2,14,"7,00",00:07:11
Raposos,State of Minas Gerais,1,1,1,6,"6,00",00:01:06
Regente Feijo,State of Sao Paulo,1,1,1,4,"4,00",00:00:29
Ribeirao do Pinhal,State of Parana,1,1,1,0,"0,00",00:01:14
Rio Claro,State of Rio de Janeiro,1,1,2,0,"0,00",00:00:00
Rio Largo,State of Alagoas,1,1,1,7,"7,00",00:06:34
Rolim de Moura,State of Rondonia,1,1,1,3,"3,00",00:00:30
Rosario do Sul,State of Rio Grande do Sul,1,1,1,0,"0,00",00:00:00
Salto de Pirapora,State of Sao Paulo,1,1,2,8,"4,00",00:02:07
Salto do Lontra,State of Parana,1,1,1,1,"1,00",00:00:02
Santa Adelia,State of Sao Paulo,1,1,1,2,"2,00",00:00:10
Santa Cruz do Rio Pardo,State of Sao Paulo,1,1,1,4,"4,00",00:00:37
Santa Fe do Sul,State of Sao Paulo,1,0,1,2,"2,00",00:00:01
Santa Helena,State of Parana,1,1,1,1,"1,00",00:00:00
Santa Helena de Goias,State of Goias,1,1,4,10,"2,50",00:00:31
Santana do Paraiso,State of Minas Gerais,1,1,1,1,"1,00",00:00:00
Santiago,State of Rio Grande do Sul,1,1,1,0,"0,00",00:02:59
Santo Amaro,State of Bahia,1,1,1,0,"0,00",00:00:00
Santo Antonio de Padua,State of Rio de Janeiro,1,1,1,0,"0,00",00:00:00
Santo Antonio do Sudoeste,State of Parana,1,0,1,3,"3,00",00:00:42
Santos Dumont,State of Minas Gerais,1,1,1,2,"2,00",00:00:20
Sarandi,State of Parana,1,1,1,3,"3,00",00:02:33
Sarzedo,State of Minas Gerais,1,1,1,2,"2,00",00:00:33
Senges,State of Parana,1,0,1,1,"1,00",00:00:00
Sidrolandia,State of Mato Grosso do Sul,1,1,1,1,"1,00",00:00:00
Sombrio,State of Santa Catarina,1,0,1,3,"3,00",00:00:15
Sao Borja,State of Rio Grande do Sul,1,1,1,0,"0,00",00:09:34
Sao Fidelis,State of Rio de Janeiro,1,1,1,1,"1,00",00:00:00
Sao Francisco,State of Minas Gerais,1,1,1,0,"0,00",00:00:00
Sao Francisco de Paula,State of Rio Grande do Sul,1,1,1,0,"0,00",00:00:00
Sao Jose de Mipibu,State of Rio Grande do Norte,1,1,2,2,"1,00",00:00:00
Sao Jose do Rio Pardo,State of Sao Paulo,1,0,1,3,"3,00",00:00:15
Sao Joao Batista,State of Santa Catarina,1,1,1,2,"2,00",00:00:18
Sao Joao da Barra,State of Rio de Janeiro,1,0,1,4,"4,00",00:01:30
Sao Manuel,State of Sao Paulo,1,1,1,1,"1,00",00:00:00
Sao Miguel Arcanjo,State of Sao Paulo,1,1,1,0,"0,00",00:00:00
Tangua,State of Rio de Janeiro,1,0,1,1,"1,00",00:00:07
Taquarituba,State of Sao Paulo,1,1,2,10,"5,00",00:01:43
Teodoro Sampaio,State of Sao Paulo,1,0,1,2,"2,00",00:00:02
Tijucas,State of Santa Catarina,1,1,1,3,"3,00",00:01:09
Tres Pontas,State of Minas Gerais,1,1,1,3,"3,00",00:01:54
Tupaciguara,State of Minas Gerais,1,1,1,3,"3,00",00:01:10
Ubatuba,State of Sao Paulo,1,1,2,7,"3,50",00:01:02
Uruacu,State of Goias,1,0,3,8,"2,67",00:00:12
Valinhos,State of Sao Paulo,1,0,1,2,"2,00",00:00:02
Vespasiano,State of Minas Gerais,1,0,1,1,"1,00",00:00:00
Viamao,State of Rio Grande do Sul,1,1,1,2,"2,00",00:00:12
Viana,State of Espirito Santo,1,1,1,2,"2,00",00:00:21
Aguas de Lindoia,State of Sao Paulo,1,1,1,1,"1,00",00:00:00
Abelardo Luz,State of Santa Catarina,1,0,1,2,"2,00",00:00:26
Angatuba,State of Sao Paulo,1,1,1,0,"0,00",00:00:00
Anicuns,State of Goias,1,1,1,2,"2,00",00:07:23
Apodi,State of Rio Grande do Norte,1,0,1,2,"2,00",00:00:27
Aracuai,State of Minas Gerais,1,1,1,3,"3,00",00:01:59
Armacao dos Buzios,State of Rio de Janeiro,1,1,1,2,"2,00",00:00:19
Bambui,State of Minas Gerais,1,0,1,1,"1,00",00:00:02
Brumadinho,State of Minas Gerais,1,1,2,3,"1,50",00:00:05
Campos Gerais,State of Minas Gerais,1,1,3,5,"1,67",00:00:59
Conceicao de Macabu,State of Rio de Janeiro,1,1,1,6,"6,00",00:01:13
Inhambupe,State of Bahia,1,1,2,4,"2,00",00:00:26
Juruaia,State of Minas Gerais,1,1,1,0,"0,00",00:04:23
Machado,State of Minas Gerais,1,1,3,14,"4,67",00:00:37
Mauriti,State of Ceara,1,1,1,0,"0,00",00:00:00
Nao-Me-Toque,State of Rio Grande do Sul,1,0,1,2,"2,00",00:00:01
Nepomuceno,State of Minas Gerais,1,1,3,9,"3,00",00:00:27
Niquelandia,State of Goias,1,1,1,1,"1,00",00:00:00
Nova Mutum,State of Mato Grosso,1,1,1,1,"1,00",00:00:00
Palmitos,State of Santa Catarina,1,1,1,1,"1,00",00:00:00
Paraisopolis,State of Minas Gerais,1,1,3,8,"2,67",00:00:59
Parelhas,State of Rio Grande do Norte,1,1,1,0,"0,00",00:23:46
Picarras,State of Santa Catarina,1,1,1,2,"2,00",00:00:21
Pinhalzinho,State of Santa Catarina,1,0,2,16,"8,00",00:01:26
Santa Cruz,State of Rio Grande do Norte,1,0,1,0,"0,00",00:00:00
Sao Benedito,State of Ceara,1,1,1,0,"0,00",00:04:21
Sao Sebastiao do Cai,State of Rio Grande do Sul,1,1,1,0,"0,00",00:03:22
Serafina Correa,State of Rio Grande do Sul,1,1,1,4,"4,00",00:00:58
Tapejara,State of Rio Grande do Sul,1,1,1,5,"5,00",00:04:28
Tobias Barreto,State of Sergipe,1,1,1,0,"0,00",00:00:00
Tres de Maio,State of Rio Grande do Sul,1,1,1,2,"2,00",00:00:17
Vargem Grande Paulista,State of Sao Paulo,1,1,1,2,"2,00",00:00:15
Fiumicino,Lazio,1,0,1,2,"2,00",00:00:01
Creve Coeur,Missouri,1,1,1,2,"2,00",00:00:33
Lake Butler,Florida,1,0,1,1,"1,00",00:00:00
Lavras,State of Minas Gerais,1,1,1,7,"7,00",00:01:13
Carazinho,State of Rio Grande do Sul,1,1,1,0,"0,00",00:00:00
Itatiba,State of Sao Paulo,1,0,1,4,"4,00",00:00:50
Aquiraz,State of Ceara,1,1,1,2,"2,00",00:00:27
Belo Jardim,State of Pernambuco,1,0,1,0,"0,00",00:00:00
Sao Jose de Mipibu,State of Rio Grande do Norte,1,1,1,6,"6,00",00:01:20
Nova Odessa,State of Sao Paulo,1,1,1,2,"2,00",00:00:08
Aracati,State of Ceara,1,1,1,6,"6,00",00:01:15
Batatais,State of Sao Paulo,1,0,1,6,"6,00",00:00:59
Pederneiras,State of Sao Paulo,1,1,11,30,"2,73",00:00:37
